ID,Faction,Instance_ID,Supercedes,Title_lang[0],Title_lang[1],Title_lang[2],Title_lang[3],Title_lang[4],Title_lang[5],Title_lang[6],Title_lang[7],Title_lang[8],Title_lang[9],Title_lang[10],Title_lang[11],Title_lang[12],Title_lang[13],Title_lang[14],Title_lang[15],Title_lang_mask,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Category,Points,Ui_order,Flags,IconID,Reward_lang[0],Reward_lang[1],Reward_lang[2],Reward_lang[3],Reward_lang[4],Reward_lang[5],Reward_lang[6],Reward_lang[7],Reward_lang[8],Reward_lang[9],Reward_lang[10],Reward_lang[11],Reward_lang[12],Reward_lang[13],Reward_lang[14],Reward_lang[15],Reward_lang_mask,Minimum_criteria,Shares_criteria
6,-1,-1,0,Level 10,,,,,,,,,,,,,,,,16712190,Reach level 10.,,,,,,,,,,,,,,,,16712190,92,10,1,4,3268,,,,,,,,,,,,,,,,,16712174,0,0
33,1,-1,0,Nothing Boring About Borean,,,,,,,,,,,,,,,,16712190,Complete 130 quests in Borean Tundra.,,,,,,,,,,,,,,,,16712190,14863,10,1,136,3336,,,,,,,,,,,,,,,,,16712174,0,0
42,-1,-1,0,Explore Eastern Kingdoms,,,,,,,,,,,,,,,,16712190,Explore the regions of Eastern Kingdoms.,,,,,,,,,,,,,,,,16712190,97,25,1,0,3490,,,,,,,,,,,,,,,,,16712174,0,0
57,-1,30,0,Deaths in Alterac Valley,,,,,,,,,,,,,,,,16712190,Deaths in Alterac Valley,,,,,,,,,,,,,,,,16712190,124,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
60,-1,-1,0,Total deaths,,,,,,,,,,,,,,,,16712190,Total deaths,,,,,,,,,,,,,,,,16712190,122,0,1,1,1,,,,,,,,,,,,,,,,,16712174,0,0
98,-1,-1,0,Quests completed,,,,,,,,,,,,,,,,16712190,Quests completed,,,,,,,,,,,,,,,,16712190,133,0,1,9,0,,,,,,,,,,,,,,,,,16712174,0,0
107,-1,-1,0,Creatures killed,,,,,,,,,,,,,,,,16712190,Creatures killed,,,,,,,,,,,,,,,,16712190,135,0,1,9,4,,,,,,,,,,,,,,,,,16712174,0,0
112,-1,-1,0,Deaths from drowning,,,,,,,,,,,,,,,,16712190,Deaths from drowning,,,,,,,,,,,,,,,,16712190,126,0,1,1,4,,,,,,,,,,,,,,,,,16712174,0,0
116,-1,-1,0,Professional Journeyman,,,,,,,,,,,,,,,,16712190,Become a Journeyman in a profession.,,,,,,,,,,,,,,,,16712190,169,10,1,0,2846,,,,,,,,,,,,,,,,,16712174,1,0
121,-1,-1,0,Journeyman Cook,,,,,,,,,,,,,,,,16712190,Become a Journeyman Cook.,,,,,,,,,,,,,,,,16712190,170,10,1,0,1467,,,,,,,,,,,,,,,,,16712174,0,0
126,-1,-1,0,Journeyman Fisherman,,,,,,,,,,,,,,,,16712190,Become a Journeyman Fisherman.,,,,,,,,,,,,,,,,16712190,171,10,1,0,580,,,,,,,,,,,,,,,,,16712174,0,0
131,-1,-1,0,Journeyman in First Aid,,,,,,,,,,,,,,,,16712190,Become a Journeyman in first aid.,,,,,,,,,,,,,,,,16712190,172,10,1,0,504,,,,,,,,,,,,,,,,,16712174,0,0
154,-1,529,0,Arathi Basin Victory,,,,,,,,,,,,,,,,16712190,Win Arathi Basin.,,,,,,,,,,,,,,,,16712190,14802,10,1,0,3381,,,,,,,,,,,,,,,,,16712174,0,0
166,-1,489,0,Warsong Gulch Victory,,,,,,,,,,,,,,,,16712190,Win Warsong Gulch.,,,,,,,,,,,,,,,,16712190,14804,10,1,0,3387,,,,,,,,,,,,,,,,,16712174,0,0
193,-1,-1,0,Largest hit dealt,,,,,,,,,,,,,,,,16712190,Largest hit dealt,,,,,,,,,,,,,,,,16712190,141,0,1,1,4,,,,,,,,,,,,,,,,,16712174,0,0
208,-1,566,0,Eye of the Storm Victory,,,,,,,,,,,,,,,,16712190,Win Eye of the Storm.,,,,,,,,,,,,,,,,16712190,14803,10,1,0,3384,,,,,,,,,,,,,,,,,16712174,0,0
218,-1,30,0,Alterac Valley Victory,,,,,,,,,,,,,,,,16712190,Win Alterac Valley.,,,,,,,,,,,,,,,,16712190,14801,10,1,0,3377,,,,,,,,,,,,,,,,,16712174,0,0
238,-1,-1,0,An Honorable Kill,,,,,,,,,,,,,,,,16712190,Achieve an honorable kill.,,,,,,,,,,,,,,,,16712190,95,10,1,0,3454,,,,,,,,,,,,,,,,,16712174,0,0
263,-1,-1,0,Ice the Frost Lord,,,,,,,,,,,,,,,,16712190,Slay Ahune in the Slave Pens.,,,,,,,,,,,,,,,,16712190,161,10,1,0,94,,,,,,,,,,,,,,,,,16712174,1,0
273,-1,-1,0,On Metzen!,,,,,,,,,,,,,,,,16712190,Save Metzen the Reindeer.,,,,,,,,,,,,,,,,16712190,156,10,1,0,3703,,,,,,,,,,,,,,,,,16712174,1,0
