ID,ReputationID,Name
1,-1,"PLAYER, Human"
2,-1,"PLAYER, Orc"
3,-1,"PLAYER, Dwarf"
4,-1,"PLAYER, Night Elf"
5,-1,"PLAYER, Undead"
6,-1,"PLAYER, Tauren"
7,-1,Creature
8,-1,"PLAYER, Gnome"
9,-1,"PLAYER, Troll"
14,-1,Monster
15,-1,"Defias Brotherhood"
16,-1,"Gnoll - Riverpaw"
17,-1,"Gnoll - Redridge"
18,-1,"Gnoll - Shadowhide"
19,-1,Murloc
20,-1,"Undead, Scourge"
21,1,"Booty Bay"
22,-1,"Beast - Spider"
23,-1,"Beast - Boar"
24,-1,Worgen
25,-1,Kobold
26,-1,"Troll, Bloodscalp"
27,-1,"Troll, Skullsplitter"
28,-1,Prey
29,-1,"Beast - Wolf"
30,-1,"Defias Brotherhood Traitor"
31,-1,Friendly
32,-1,Trogg
33,-1,"Troll, Frostmane"
34,-1,"Orc, Blackrock"
35,-1,Villian
36,-1,Victim
37,-1,"Beast - Bear"
38,-1,Ogre
39,-1,"Kurzen's Mercenaries"
40,-1,Escortee
41,-1,"Venture Company"
42,-1,"Beast - Raptor"
43,-1,Basilisk
44,-1,"Dragonflight, Green"
45,-1,"Lost Ones"
46,29,"Blacksmithing - Armorsmithing"
47,20,Ironforge
48,-1,"Dark Iron Dwarves"
49,-1,"Human, Night Watch"
50,-1,"Dragonflight, Red"
51,-1,"Gnoll - Mosshide"
52,-1,"Orc, Dragonmaw"
53,-1,"Gnome - Leper"
54,18,"Gnomeregan Exiles"
55,-1,Leopard
56,-1,"Scarlet Crusade"
57,-1,"Gnoll - Rothide"
58,-1,"Beast - Gorilla"
59,4,"Thorium Brotherhood"
60,-1,Naga
61,-1,Dalaran
62,-1,"Forlorn Spirit"
63,-1,Darkhowl
64,-1,Grell
65,-1,Furbolg
66,-1,"Horde Generic"
67,12,Horde
68,17,Undercity
69,21,Darnassus
70,6,Syndicate
71,-1,"Hillsbrad Militia"
72,19,Stormwind
73,-1,Demon
74,-1,Elemental
75,-1,Spirit
76,14,Orgrimmar
77,-1,Treasure
78,-1,"Gnoll - Mudsnout"
79,-1,"HIllsbrad, Southshore Mayor"
80,-1,"Dragonflight, Black"
81,16,"Thunder Bluff"
82,-1,"Troll, Witherbark"
83,23,"Leatherworking - Elemental"
84,-1,"Quilboar, Razormane"
85,-1,"Quilboar, Bristleback"
86,22,"Leatherworking - Dragonscale"
87,0,"Bloodsail Buccaneers"
88,-1,Blackfathom
89,-1,Makrura
90,-1,"Centaur, Kolkar"
91,-1,"Centaur, Galak"
92,2,"Gelkis Clan Centaur"
93,3,"Magram Clan Centaur"
94,-1,Maraudine
108,-1,Theramore
109,-1,"Quilboar, Razorfen"
110,-1,"Quilboar, Razormane 2"
111,-1,"Quilboar, Deathshead"
128,-1,Enemy
148,-1,Ambient
168,-1,"Nethergarde Caravan"
169,10,"Steamwheedle Cartel"
189,-1,"Alliance Generic"
209,-1,Nethergarde
229,-1,"Wailing Caverns"
249,-1,Silithid
269,-1,"Silvermoon Remnant"
270,51,"Zandalar Tribe"
289,30,"Blacksmithing - Weaponsmithing"
309,-1,Scorpid
310,-1,"Beast - Bat"
311,-1,Titan
329,-1,"Taskmaster Fizzule"
349,5,Ravenholdt
369,7,Gadgetzan
389,-1,"Gnomeregan Bug"
409,-1,Harpy
429,-1,"Burning Blade"
449,-1,"Shadowsilk Poacher"
450,-1,"Searing Spider"
469,11,Alliance
470,9,Ratchet
471,8,"Wildhammer Clan"
489,-1,"Goblin, Dark Iron Bar Patron"
509,53,"The League of Arathor"
510,52,"The Defilers"
511,-1,Giant
529,13,"Argent Dawn"
530,15,"Darkspear Trolls"
531,-1,"Dragonflight, Bronze"
532,-1,"Dragonflight, Blue"
549,24,"Leatherworking - Tribal"
550,26,"Engineering - Goblin"
551,25,"Engineering - Gnome"
569,33,"Blacksmithing - Hammersmithing"
570,31,"Blacksmithing - Axesmithing"
571,32,"Blacksmithing - Swordsmithing"
572,-1,"Troll, Vilebranch"
573,-1,"Southsea Freebooters"
574,34,"Caer Darrow"
575,-1,"Furbolg, Uncorrupted"
576,35,"Timbermaw Hold"
577,28,Everlook
589,27,"Wintersaber Trainers"
609,36,"Cenarion Circle"
629,-1,"Shatterspear Trolls"
630,-1,"Ravasaur Trainers"
649,-1,"Majordomo Executus"
669,-1,"Beast - Carrion Bird"
670,-1,"Beast - Cat"
671,-1,"Beast - Crab"
672,-1,"Beast - Crocilisk"
673,-1,"Beast - Hyena"
674,-1,"Beast - Owl"
675,-1,"Beast - Scorpid"
676,-1,"Beast - Tallstrider"
677,-1,"Beast - Turtle"
678,-1,"Beast - Wind Serpent"
679,-1,"Training Dummy"
689,-1,"Dragonflight, Black - Bait"
709,-1,"Battleground Neutral"
729,41,"Frostwolf Clan"
730,40,"Stormpike Guard"
749,42,"Hydraxian Waterlords"
750,-1,"Sulfuron Firelords"
769,-1,"Gizlock's Dummy"
770,-1,"Gizlock's Charm"
771,-1,Gizlock
789,-1,Moro'gai
790,-1,"Spirit Guide - Alliance"
809,44,Shen'dralar
