ID,SpellID,GlyphSlotFlags,SpellIconID
2,52084,0,3098
21,12320,162,0
22,12297,128,0
61,46831,2,0
81,52084,1,0
82,52085,128,0
101,0,0,0
121,46487,64,2681
141,54292,1,3115
161,54810,0,3114
162,54811,0,3113
163,54812,0,3312
164,54813,0,3124
165,54815,0,3129
166,54818,0,3112
167,54821,0,3128
168,54824,0,3123
169,54832,0,3121
170,54733,0,3127
171,54743,0,3098
172,54754,0,3125
173,54825,0,3119
174,54826,0,3120
175,54845,0,3117
176,54830,0,3122
177,54831,0,3118
178,54828,0,3116
179,54756,0,3126
180,54829,0,3110
181,54760,0,3115
182,54912,1,0
183,54922,0,3128
184,54925,0,3121
185,54923,0,3112
186,54924,0,3115
187,54926,0,3117
188,54927,0,3110
189,54928,0,3119
190,54929,0,3118
191,54930,0,3125
192,54931,0,3312
193,54934,0,3122
194,54935,0,3126
195,54936,0,3127
196,54937,0,3129
197,54938,0,3113
198,54939,0,3114
199,54940,0,3124
200,54943,0,3123
211,55436,0,3117
212,55437,0,3118
213,55449,0,3114
214,55454,0,3116
215,55442,0,3124
216,55439,0,3129
217,55455,0,3120
218,55450,0,3113
219,55447,0,3125
220,55451,0,3115
221,55443,0,3122
222,55456,0,3127
223,55440,0,3312
224,55438,0,3112
225,55448,0,3126
226,55453,0,3119
227,55441,0,3121
228,55446,0,3123
229,55444,0,3110
230,55452,0,3098
231,55445,0,3128
251,55675,0,3098
252,55677,0,3112
253,55684,0,3113
254,55678,0,3117
255,55679,0,3115
256,55683,0,3129
257,55686,0,3119
258,55673,0,3312
259,55691,0,3120
260,55688,0,3121
261,55681,0,3128
262,55689,0,3114
263,55672,0,3125
264,55680,0,3123
265,55676,0,3126
266,55674,0,3110
267,55690,0,3118
268,55682,0,3116
269,55687,0,3122
270,55692,0,3127
271,55685,0,3124
272,56242,0,3128
273,56235,0,3121
274,56218,0,3125
275,56241,0,3124
276,56232,0,3098
277,56244,0,3115
278,56246,0,3116
279,56249,0,3114
280,56238,0,3113
281,56224,0,3126
282,56217,0,3123
283,56228,0,3312
284,56248,0,3119
285,56226,0,3127
286,56240,0,3110
287,56229,0,3117
288,56216,0,3118
289,56231,0,3112
290,56250,0,3129
291,56233,0,3120
292,56247,0,3122
311,56360,0,3113
312,56363,0,3115
313,56381,0,3128
314,56365,0,3119
315,56380,0,3110
316,56368,0,3312
317,56369,0,3124
318,56376,0,3125
319,56370,0,3098
320,56384,0,3126
321,56372,0,3112
322,56377,0,3121
323,56374,0,3122
324,56371,0,3127
325,56366,0,3123
326,56383,0,3129
327,56367,0,3117
328,56382,0,3118
329,56375,0,3116
330,56364,0,3120
331,56373,0,3114
351,56824,0,3125
352,56841,0,3126
353,56857,0,3113
354,56833,0,3115
355,56851,0,3119
356,56830,0,3110
357,56850,0,3122
358,56844,0,3127
359,56845,0,3112
360,56847,0,3117
361,56829,0,3129
362,56846,0,3128
363,56856,0,3114
364,56836,0,3118
365,56828,0,3121
366,56832,0,3123
367,56849,0,3124
368,56826,0,3312
369,56842,0,3098
370,56838,0,3116
371,56848,0,3120
