ID,Charges,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang[8],Name_lang[9],Name_lang[10],Name_lang[11],Name_lang[12],Name_lang[13],Name_lang[14],Name_lang[15],Name_lang_mask,ItemVisual,Flags,Src_itemID,Condition_ID,RequiredSkillID,RequiredSkillRank,MinLevel
1,0,6,0,0,6,0,0,6,0,0,0,0,0,Rockbiter 3,,,,,,,,,,,,,,,,16712190,61,9,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,8034,0,0,Frostbrand 1,,,,,,,,,,,,,,,,16712190,33,9,0,0,0,0,0
3,0,3,0,0,100,0,0,100,0,0,15568,0,0,Flametongue 3,,,,,,,,,,,,,,,,16712190,32,9,0,0,0,0,0
4,0,3,0,0,100,0,0,100,0,0,15567,0,0,Flametongue 2,,,,,,,,,,,,,,,,16712190,32,9,0,0,0,0,0
5,0,3,0,0,100,0,0,100,0,0,10400,0,0,Flametongue 1,,,,,,,,,,,,,,,,16712190,32,9,0,0,0,0,0
6,0,6,0,0,4,0,0,4,0,0,0,0,0,Rockbiter 2,,,,,,,,,,,,,,,,16712190,61,9,0,0,0,0,0
7,0,1,0,0,30,0,0,30,0,0,2818,0,0,Deadly Poison,,,,,,,,,,,,,,,,16712190,26,9,0,0,0,0,0
8,0,1,0,0,30,0,0,30,0,0,2819,0,0,Deadly Poison II,,,,,,,,,,,,,,,,16712190,26,9,0,0,0,0,0
9,0,1,0,0,30,0,0,30,0,0,2820,0,0,Poison (15 Dmg),,,,,,,,,,,,,,,,16712190,26,9,0,0,0,0,0
10,0,1,0,0,30,0,0,30,0,0,2821,0,0,Poison (20 Dmg),,,,,,,,,,,,,,,,16712190,26,9,0,0,0,0,0
11,0,1,0,0,30,0,0,30,0,0,2822,0,0,Poison (25 Dmg),,,,,,,,,,,,,,,,16712190,26,9,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,8037,0,0,Frostbrand 2,,,,,,,,,,,,,,,,16712190,33,9,0,0,0,0,0
13,0,2,0,0,3,0,0,3,0,0,0,0,0,Sharpened (+3 Damage),,,,,,,,,,,,,,,,16712190,28,0,0,0,0,0,0
14,0,2,0,0,4,0,0,4,0,0,0,0,0,Sharpened (+4 Damage),,,,,,,,,,,,,,,,16712190,28,0,0,0,0,0,0
15,0,4,0,0,8,0,0,8,0,0,0,0,0,Reinforced (+8 Armor),,,,,,,,,,,,,,,,16712190,0,0,0,0,0,0,0
16,0,4,0,0,16,0,0,16,0,0,0,0,0,Reinforced (+16 Armor),,,,,,,,,,,,,,,,16712190,0,0,0,0,0,0,0
17,0,4,0,0,24,0,0,24,0,0,0,0,0,Reinforced (+24 Armor),,,,,,,,,,,,,,,,16712190,0,0,0,0,0,0,0
18,0,4,0,0,32,0,0,32,0,0,0,0,0,Reinforced (+32 Armor),,,,,,,,,,,,,,,,16712190,0,0,0,0,0,0,0
19,0,2,0,0,2,0,0,2,0,0,0,0,0,Weighted (+2 Damage),,,,,,,,,,,,,,,,16712190,0,0,0,0,0,0,0
