ID,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang[8],Name_lang[9],Name_lang[10],Name_lang[11],Name_lang[12],Name_lang[13],Name_lang[14],Name_lang[15],Name_lang_mask,SpellIconID,RaceMask,ClassMask,CategoryEnumID,OrderIndex,BackgroundFile
81,Arcane,,,,,,,,,,,,,,,,16712190,125,2047,128,0,0,MageArcane
161,Arms,,,,,,,,,,,,,,,,16712190,514,2047,1,0,0,WarriorArms
182,Assassination,,,,,,,,,,,,,,,,16712190,514,2047,8,0,0,RogueAssassination
201,Discipline,,,,,,,,,,,,,,,,16712190,685,2047,16,0,0,PriestDiscipline
261,Elemental,,,,,,,,,,,,,,,,16712190,62,2047,64,0,0,ShamanElementalCombat
283,Balance,,,,,,,,,,,,,,,,16712190,225,2047,1024,0,0,DruidBalance
302,Affliction,,,,,,,,,,,,,,,,16712190,88,2047,256,0,0,WarlockCurses
361,Beast Mastery,,,,,,,,,,,,,,,,16712190,255,2047,4,0,0,HunterBeastMastery
382,Holy,,,,,,,,,,,,,,,,16712190,70,2047,2,0,0,PaladinHoly
398,Blood,,,,,,,,,,,,,,,,16712190,2636,-260097,32,0,0,DeathKnightBlood
409,Tenacity,,,,,,,,,,,,,,,,16712190,1559,0,0,2,0,HunterPetTenacity
410,Ferocity,,,,,,,,,,,,,,,,16712190,496,0,0,1,0,HunterPetFerocity
411,Cunning,,,,,,,,,,,,,,,,16712190,2223,0,0,4,0,HunterPetCunning
41,Fire,,,,,,,,,,,,,,,,16712190,183,2047,128,0,1,MageFire
164,Fury,,,,,,,,,,,,,,,,16712190,561,2047,1,0,1,WarriorFury
181,Combat,,,,,,,,,,,,,,,,16712190,243,2047,8,0,1,RogueCombat
202,Holy,,,,,,,,,,,,,,,,16712190,2873,2047,16,0,1,PriestHoly
263,Enhancement,,,,,,,,,,,,,,,,16712190,19,2047,64,0,1,ShamanEnhancement
281,Feral Combat,,,,,,,,,,,,,,,,16712190,107,2047,1024,0,1,DruidFeralCombat
303,Demonology,,,,,,,,,,,,,,,,16712190,90,2047,256,0,1,WarlockSummoning
363,Marksmanship,,,,,,,,,,,,,,,,16712190,126,2047,4,0,1,HunterMarksmanship
383,Protection,,,,,,,,,,,,,,,,16712190,291,2047,2,0,1,PaladinProtection
399,Frost,,,,,,,,,,,,,,,,16712190,2632,2047,32,0,1,DeathKnightFrost
61,Frost,,,,,,,,,,,,,,,,16712190,188,2047,128,0,2,MageFrost
163,Protection,,,,,,,,,,,,,,,,16712190,1463,2047,1,0,2,WarriorProtection
183,Subtlety,,,,,,,,,,,,,,,,16712190,250,2047,8,0,2,RogueSubtlety
203,Shadow,,,,,,,,,,,,,,,,16712190,234,2047,16,0,2,PriestShadow
262,Restoration,,,,,,,,,,,,,,,,16712190,13,2047,64,0,2,ShamanRestoration
282,Restoration,,,,,,,,,,,,,,,,16712190,962,2047,1024,0,2,DruidRestoration
301,Destruction,,,,,,,,,,,,,,,,16712190,547,2047,256,0,2,WarlockDestruction
362,Survival,,,,,,,,,,,,,,,,16712190,257,2047,4,0,2,HunterSurvival
381,Retribution,,,,,,,,,,,,,,,,16712190,555,2047,2,0,2,PaladinCombat
400,Unholy,,,,,,,,,,,,,,,,16712190,2633,2047,32,0,2,DeathKnightUnholy
